eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C70B,CISCO,WS-X6148A-GE-45AF,RTP10 SDU Lab,I,06,020022838,ACTIVE,SNNO-005C70B,SDU Spares,SDU-RTP10,3
005C70E,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020858,SDU Spares,SDU-RTP10,3
005C70F,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020859,SDU Spares,SDU-RTP10,3
005C710,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46131601,SDU Spares,SDU-RTP10,3
005C711,EMPIRIX,PACKET SPHERE 200,RTP10 SDU Lab,D,19,020022838,ACTIVE,312,SDU Spares,SDU-RTP10,3
005C713,CISCO,WS-X6748-SFP,RTP10 SDU Lab,D,29,020022838,ACTIVE,SAL1213KGB3,SDU Spares,SDU-RTP10,3
005C714,CISCO,WS-C6509-E,RTP10 SDU Lab,I,14,020022838,ACTIVE,SMG1201N0CN,SDU Spares,SDU-RTP10,3
005C716,EMPIRIX,GIGABIT ETHERNET INTERFACE,RTP10 SDU Lab,D,19,020022838,ACTIVE,251350120,SDU Spares,SDU-RTP10,3
005C717,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46021603,SDU Spares,SDU-RTP10,3
005C718,CISCO,15216-DCU-1150,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,OFS130300K4,SDU Spares,SDU-RTP10,3
005C719,AGILENT,E7906A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY42190231,SDU Spares,SDU-RTP10,3
005C71B,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,G,22,020022838,ACTIVE,P1236020850,SDU CVF,SDU-RTP10,2
005C71D,CISCO,A02-MEMKIT-004A,RTP10 SDU Lab,E,06,020022838,ACTIVE,QCI1410A099,SDU Spares,SDU-RTP10,3
005C71E,CISCO,N10-E0440,RTP10 SDU Lab,G,22,020022838,ACTIVE,SNNO-005C71E,SDU CVF,SDU-RTP10,2
005C71F,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020720,SDU Spares,SDU-RTP10,3
005C720,MRV,LX-5250-24VYS1,RTP10 SDU Lab,CC,17,020022838,ACTIVE,AABC0000674,SDU Spares,SDU-RTP10,3
005C721,CISCO,N5K-C5020P-BF,RTP10 SDU Lab,F,28,020022838,ACTIVE,FLC12320012,SDU CVF,SDU-RTP10,2
005C723,CISCO,N20-C6508,RTP10 SDU Lab,G,22,020022838,ACTIVE,FOX1427GZXB,SDU CVF,SDU-RTP10,2
005C725,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,G,23,020022838,ACTIVE,P1236120871,SDU CVF,SDU-RTP10,2
005C726,CISCO,N20-C6508,RTP10 SDU Lab,G,22,020022838,ACTIVE,FOX1414G19M,SDU CVF,SDU-RTP10,2
005C727,CISCO,N20-B6620-2,RTP10 SDU Lab,E,07,020022838,ACTIVE,QCI1408A256,SDU Spares,SDU-RTP10,3
005C728,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,E,17,020022838,ACTIVE,103471274,SDU CVF,SDU-RTP10,2
005C729,CISCO,N10-S6100,RTP10 SDU Lab,G,22,020022838,ACTIVE,SSI140305WT,SDU CVF,SDU-RTP10,2
005C72A,CISCO,N10-S6100,RTP10 SDU Lab,G,22,020022838,ACTIVE,SSI14230EGD,SDU CVF,SDU-RTP10,2
005C72C,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,D,17,020022838,ACTIVE,P1236020877,SDU Spares,SDU-RTP10,3
005C72D,CISCO,A02-MEMKIT-004A,RTP10 SDU Lab,G,22,020022838,ACTIVE,QCI1410A096,SDU CVF,SDU-RTP10,2
005C72E,CISCO,A02-MEMKIT-004A,RTP10 SDU Lab,E,06,020022838,ACTIVE,QCI1408A3DS,SDU Spares,SDU-RTP10,3
005C72F,CISCO,N10-S6100,RTP10 SDU Lab,G,22,020022838,ACTIVE,SSI14230GWE,SDU CVF,SDU-RTP10,2
005C730,CISCO,R210-2121605,RTP10 SDU Lab,E,06,020022838,ACTIVE,QCI1403A598,SDU Spares,SDU-RTP10,3
005C731,CISCO,N10-S6100,RTP10 SDU Lab,F,17,020022838,ACTIVE,SSI1403066L,SDU CVF,SDU-RTP10,2
005C732,CISCO,N10-S6100,RTP10 SDU Lab,G,22,020022838,ACTIVE,SSI1338001G,SDU CVF,SDU-RTP10,2
